plant_family,plant_genus,plant_species,insect_family,insect_genus,insect_species,location,host_plant_name,insect_name
Poaceae,Miscanthus,transmorrisonensis,Nymphalidae,Minois,nagasawae,Taiwan,Miscanthus transmorrisonensis,Minois nagasawae
Ulmaceae,Celtis,,Nymphalidae,Libythea,carinenta,Neotropical,Celtis,Libythea carinenta
Acanthaceae,Ruellia,,Nymphalidae,Kallima,limborgii,Malaysia,Ruellia,Kallima limborgii
Acanthaceae,Pseuderanthemum,mulleri-fernandi,Nymphalidae,Hypolimnas,bolina,Australasia,Pseuderanthemum mulleri-fernandi,Hypolimnas bolina
Flacourtiaceae,Scottellia,chevalieri,Nymphalidae,Lachnoptera,anticlia,West Africa,Scottellia chevalieri,Lachnoptera anticlia
Poaceae,Sinarundinaria,niitakayamensis,Nymphalidae,Minois,nagasawae,Taiwan,Sinarundinaria niitakayamensis,Minois nagasawae
Ulmaceae,Celtis,,Nymphalidae,Libythea,celtis,India,Celtis,Libythea celtis
Smilacaceae,Smilax,bracteata,Nymphalidae,Kaniska,canace,Japan,Smilax bracteata,Kaniska canace
Acanthaceae,Ruellia,aruensis,Nymphalidae,Hypolimnas,bolina,Australasia,Ruellia aruensis,Hypolimnas bolina
Flacourtiaceae,Rawsonia,,Nymphalidae,Lachnoptera,ayresii,East Africa,Rawsonia,Lachnoptera ayresii
Rubiaceae,Mitragyna,parvifolia,Nymphalidae,Moduza,procris,India,Mitragyna parvifolia,Moduza procris
Lauraceae,Cryptocarya,,Nymphalidae,Libythea,geoffroy,Australasia,Cryptocarya,Libythea geoffroy
Smilacaceae,Smilax,riparia,Nymphalidae,Kaniska,canace,Russia,Smilax riparia,Kaniska canace
Acanthaceae,Ruellia,guppyi,Nymphalidae,Hypolimnas,bolina,Australasia,Ruellia guppyi,Hypolimnas bolina
Flacourtiaceae,Rawsonia,lucida,Nymphalidae,Lachnoptera,ayresii,Southern Africa,Rawsonia lucida,Lachnoptera ayresii
Rubiaceae,Sarcocephalus,missionis,Nymphalidae,Moduza,procris,India,Sarcocephalus missionis,Moduza procris
Ulmaceae,Celtis,,Nymphalidae,Libythea,labdaca,East Africa,Celtis,Libythea labdaca
Convallariaceae,Streptopus,,Nymphalidae,Kaniska,canace,Japan,Streptopus,Kaniska canace
Malvaceae,Sida,alnifolia,Nymphalidae,Hypolimnas,bolina,Pacific,Sida alnifolia,Hypolimnas bolina
Caprifoliaceae,Lonicera,coerulea,Nymphalidae,Ladoga,camilla,Rumania,Lonicera coerulea,Ladoga camilla
Rubiaceae,Wendlandia,thyrsoidea,Nymphalidae,Moduza,procris,Sri Lanka,Wendlandia thyrsoidea,Moduza procris
Ulmaceae,Celtis,iguanaea,Nymphalidae,Libytheana,carinenta,Neotropical,Celtis iguanaea,Libytheana carinenta
Flacourtiaceae,Rawsonia,lucida,Nymphalidae,Lachnoptera,anticlia,Southern Africa,Rawsonia lucida,Lachnoptera anticlia
Malvaceae,Sida,rhombifolia,Nymphalidae,Hypolimnas,bolina,Australasia,Sida rhombifolia,Hypolimnas bolina
Caprifoliaceae,Lonicera,japonica,Nymphalidae,Ladoga,camilla,Japan,Lonicera japonica,Ladoga camilla
Rubiaceae,Nauclea,,Nymphalidae,Moduza,procris,West Malaysia,Nauclea,Moduza procris
Ulmaceae,Celtis,laevigata,Nymphalidae,Libytheana,carinenta,Nearctic,Celtis laevigata,Libytheana carinenta
Flacourtiaceae,Scottellia,,Nymphalidae,Lachnoptera,anticlia,Afrotropical,Scottellia,Lachnoptera anticlia
Asteraceae,Synedrella,,Nymphalidae,Hypolimnas,bolina,Afrotropical,Synedrella,Hypolimnas bolina
Caprifoliaceae,Lonicera,morrowii,Nymphalidae,Ladoga,camilla,Japan,Lonicera morrowii,Ladoga camilla
Fabaceae,Pterocarpus,,Nymphalidae,Morpho,achilles,Neotropical,Pterocarpus,Morpho achilles
Ulmaceae,Celtis,tenuifolia,Nymphalidae,Libytheana,carinenta,Nearctic,Celtis tenuifolia,Libytheana carinenta
Hypericaceae,Vismia,,Nymphalidae,Lachnoptera,anticlia,Afrotropical,Vismia,Lachnoptera anticlia
Asteraceae,Synedrella,nodiflora,Nymphalidae,Hypolimnas,bolina,Fiji,Synedrella nodiflora,Hypolimnas bolina
Poaceae,Glyceria,fluitans,Nymphalidae,Lasiommata,maera,Lebanon,Glyceria fluitans,Lasiommata maera
Poaceae,Merostachys,claussenii,Nymphalidae,Morpho,aega,Brazil,Merostachys claussenii,Morpho aega
Rubiaceae,Uncaria,dasyoneura,Nymphalidae,Limenitis,calidasa,India,Uncaria dasyoneura,Limenitis calidasa
Caprifoliaceae,Diervilla,hortensis,Nymphalidae,Ladoga,camilla,Japan,Diervilla hortensis,Ladoga camilla
Urticaceae,Urtica,dioica,Nymphalidae,Hypolimnas,bolina,Indo-Australian,Urtica dioica,Hypolimnas bolina
Poaceae,Poa,annua,Nymphalidae,Lasiommata,maera,Lebanon,Poa annua,Lasiommata maera
Moraceae,Ficus,gamelleira,Nymphalidae,Morpho,anaxibia,Brazil,Ficus gamelleira,Morpho anaxibia
Melastomataceae,Conostegia,xalapensis,Nymphalidae,Limenitis,celerio,Neotropical,Conostegia xalapensis,Limenitis celerio
Caprifoliaceae,Lonicera,caprifolium,Nymphalidae,Ladoga,camilla,Czechoslovakia,Lonicera caprifolium,Ladoga camilla
Amaranthaceae,Alternanthera,sessilis,Nymphalidae,Hypolimnas,bolina,Hong Kong,Alternanthera sessilis,Hypolimnas bolina
Poaceae,Bromus,erectus,Nymphalidae,Lasiommata,megera,Spain,Bromus erectus,Lasiommata megera
Lauraceae,Nectandra,,Nymphalidae,Morpho,anaxibia,Brazil,Nectandra,Morpho anaxibia
Caprifoliaceae,Lonicera,praeflorens,Nymphalidae,Limenitis,doerriesi,former USSR,Lonicera praeflorens,Limenitis doerriesi
Caprifoliaceae,Lonicera,periclymenum,Nymphalidae,Ladoga,camilla,Czechoslovakia,Lonicera periclymenum,Ladoga camilla
Convolvulaceae,Ipomoea,batatas,Nymphalidae,Hypolimnas,bolina,Hong Kong,Ipomoea batatas,Hypolimnas bolina
Poaceae,Dactylis,glomerata,Nymphalidae,Lasiommata,megera,Spain,Dactylis glomerata,Lasiommata megera
Moraceae,Ficus,gamelleira,Nymphalidae,Morpho,anaxibia,Brazil,Ficus gamelleira,Morpho anaxibia
Caprifoliaceae,Lonicera,caerulea,Nymphalidae,Limenitis,helmanni,Russia,Lonicera caerulea,Limenitis helmanni
Caprifoliaceae,Lonicera,periclymenum,Nymphalidae,Ladoga,camilla,British Isles,Lonicera periclymenum,Ladoga camilla
Malvaceae,Malvastrum,coromandelianum,Nymphalidae,Hypolimnas,bolina,Taiwan,Malvastrum coromandelianum,Hypolimnas bolina
Poaceae,Poa,,Nymphalidae,Lasiommata,megera,Finland,Poa,Lasiommata megera
Fabaceae,Inga,sessilis,Nymphalidae,Morpho,catenarius,Brazil,Inga sessilis,Morpho catenarius
Caprifoliaceae,Lonicera,praeflorens,Nymphalidae,Limenitis,moltrechti,former USSR,Lonicera praeflorens,Limenitis moltrechti
Caprifoliaceae,Lonicera,japonica,Nymphalidae,Ladoga,sulpitia,Taiwan,Lonicera japonica,Ladoga sulpitia
Malvaceae,Sida,rhombifolia,Nymphalidae,Hypolimnas,bolina,Taiwan,Sida rhombifolia,Hypolimnas bolina
Poaceae,Poa,,Nymphalidae,Lasiommata,megera,Lebanon,Poa,Lasiommata megera
Sapindaceae,Matayba,,Nymphalidae,Morpho,catenarius,Brazil,Matayba,Morpho catenarius
Salicaceae,Populus,nigra,Nymphalidae,Limenitis,populi,Czechoslovakia,Populus nigra,Limenitis populi
Poaceae,Hordelymus,europaeus,Nymphalidae,Lasiommata,maera,Europe,Hordelymus europaeus,Lasiommata maera
Amaranthaceae,Achyranthes,aspera,Nymphalidae,Hypolimnas,bolina,Philippines,Achyranthes aspera,Hypolimnas bolina
Poaceae,Stipa,pennata,Nymphalidae,Lasiommata,megera,Spain,Stipa pennata,Lasiommata megera
Salicaceae,Populus,nigra,Nymphalidae,Limenitis,populi,Finland,Populus nigra,Limenitis populi
Poaceae,Brachypodium,,Nymphalidae,Lasiommata,megera,Malta,Brachypodium,Lasiommata megera
Acanthaceae,Blechum,,Nymphalidae,Hypolimnas,bolina,Philippines,Blechum,Hypolimnas bolina
Poaceae,Agrostis,,Nymphalidae,Lasiommata,megera,British Isles,Agrostis,Lasiommata megera
Salicaceae,Populus,tremula,Nymphalidae,Limenitis,populi,China,Populus tremula,Limenitis populi
Poaceae,Festuca,,Nymphalidae,Lasiommata,megera,Finland,Festuca,Lasiommata megera
Urticaceae,Laportea,interrupta,Nymphalidae,Hypolimnas,bolina,Philippines,Laportea interrupta,Hypolimnas bolina
Poaceae,Dactylis,,Nymphalidae,Lasiommata,megera,British Isles,Dactylis,Lasiommata megera
Fabaceae,Inga,edulis,Nymphalidae,Morpho,laertes,Brazil,Inga edulis,Morpho laertes
Salicaceae,Populus,tremula,Nymphalidae,Limenitis,populi,Finland,Populus tremula,Limenitis populi
Corylaceae,Corylus,heterophylla,Nymphalidae,Lelecella,limenitoides,China,Corylus heterophylla,Lelecella limenitoides
Tiliaceae,Triumfetta,rhomboidea,Nymphalidae,Hypolimnas,bolina,Philippines,Triumfetta rhomboidea,Hypolimnas bolina
Poaceae,Deschampsia,,Nymphalidae,Lasiommata,megera,British Isles,Deschampsia,Lasiommata megera
Tiliaceae,Luehea,,Nymphalidae,Morpho,laertes,Brazil,Luehea,Morpho laertes
Salicaceae,Populus,tremula,Nymphalidae,Limenitis,populi,Russia,Populus tremula,Limenitis populi
Poaceae,Arundinaria,,Nymphalidae,Lethe,callipteris,Japan,Arundinaria,Lethe callipteris
Acanthaceae,Asystasia,,Nymphalidae,Hypolimnas,misippus,East Africa,Asystasia,Hypolimnas misippus
Poaceae,Holcus,,Nymphalidae,Lasiommata,megera,British Isles,Holcus,Lasiommata megera
Fabaceae,Machaerium,acutifolium,Nymphalidae,Morpho,laertes,Brazil,Machaerium acutifolium,Morpho laertes
Caprifoliaceae,Lonicera,japonica,Nymphalidae,Limenitis,sulpitia,Hong Kong,Lonicera japonica,Limenitis sulpitia
Poaceae,Dendrocalamus,asper,Nymphalidae,Lethe,chandica,West Malaysia,Dendrocalamus asper,Lethe chandica
Acanthaceae,Asystasia,,Nymphalidae,Hypolimnas,misippus,Old World,Asystasia,Hypolimnas misippus
Poaceae,Festuca,,Nymphalidae,Lasiommata,petropolitana,Czechoslovakia,Festuca,Lasiommata petropolitana
Erythroxylaceae,Erythroxylum,pulchrum,Nymphalidae,Morpho,menelaus,Brazil,Erythroxylum pulchrum,Morpho menelaus
Caprifoliaceae,Lonicera,tatarica,Nymphalidae,Limenitis,trivena,India,Lonicera tatarica,Limenitis trivena
Poaceae,Sinarundinaria,niitakayamensis,Nymphalidae,Lethe,christophi,Taiwan,Sinarundinaria niitakayamensis,Lethe christophi
Acanthaceae,Asystasia,gangetica,Nymphalidae,Hypolimnas,misippus,Australia,Asystasia gangetica,Hypolimnas misippus
Combretaceae,Quisqualis,indica,Nymphalidae,Lasippa,illigera,Philippines,Quisqualis indica,Lasippa illigera
Poaceae,Lolium,temulentum,Nymphalidae,Lopinga,achine,Czechoslovakia,Lolium temulentum,Lopinga achine
Poaceae,Bambusa,arundinacea,Nymphalidae,Lethe,drypetis,India,Bambusa arundinacea,Lethe drypetis
Acanthaceae,Asystasia,gangetica,Nymphalidae,Hypolimnas,misippus,Southern Africa,Asystasia gangetica,Hypolimnas misippus
Hypericaceae,Cratoxylum,,Nymphalidae,Lasippa,tiga,West Malaysia,Cratoxylum,Lasippa tiga
Poaceae,Poa,,Nymphalidae,Lopinga,achine,Europe,Poa,Lopinga achine
