species_name,common_name,status,category,extent,temporal_range,expected_obs,actual_obs,last_updated,taxonomic_rank,gbif_key,data_quality,color,notes,countries_observed,subregion,host_plants
Chlosyne hoffmanni,,ingested,butterfly,"[-4.05, -2.76, 34.89, 8.94]",2015-09-02 to 2025-09-12,,861,2026-02-12,SPECIES,,100.0,,,"CD,CI,GA,GH,KE,NG,TG,UG",Sub-Saharan Africa,
Euphaedra janetta,,ingested,butterfly,"[-115.65, -34.83, -44.19, 38.86]",2015-01-01 to 2025-12-31,,46,2026-02-12,SPECIES,,100.0,,,"AR,BO,BR,CO,CR,EC,GT,HN,MX,NI,PA,PE,SV,US,VE",Central America,
Marpesia zerynthia,,ingested,butterfly,"[-123.48, 37.07, -118.99, 49.60]",2015-06-20 to 2025-08-12,,719,2026-02-12,SPECIES,,100.0,,,"CA,US",Northern America,
Marpesia marcella,,ingested,butterfly,"[-11.20, 4.10, 9.06, 8.18]",2016-02-04 to 2025-09-13,,376,2026-02-12,SPECIES,,100.0,,,"CI,CM,GH,GN,LR,SL",Sub-Saharan Africa,
Euphaedra neophron,,ingested,butterfly,"[-99.00, -30.07, -41.05, 21.40]",2015-01-17 to 2025-12-26,,906,2026-02-12,SPECIES,,100.0,,,"BO,BR,CO,CR,EC,GT,HN,MX,NI,PA,PE,SV,VE",Central America,
Euthalia formosana,,ingested,butterfly,"[-91.80, -17.17, -65.76, 15.54]",2015-03-18 to 2025-11-22,,147,2026-02-12,SPECIES,,100.0,,,"BO,CO,CR,EC,GT,HN,NI,PA,PE,VE",Central America,
Papilio maackii,,ingested,butterfly,"[-13.18, -28.39, 40.51, 12.96]",2015-01-19 to 2025-12-30,,1061,2026-02-12,SPECIES,,100.0,,,"KE,MW,MZ,RW,SN,TZ,ZA,ZM,ZW",Sub-Saharan Africa,
Lexias pardalis,,ingested,butterfly,"[99.01, 25.74, 147.77, 53.27]",2015-01-01 to 2025-10-29,,3500,2026-02-12,SPECIES,,100.0,,,"CN,JP,KR,RU",Eastern Asia,
Alcides metaurus,,ingested,butterfly,"[131.70, -23.90, 151.26, -0.78]",2015-09-25 to 2025-12-28,,668,2026-02-12,SPECIES,,100.0,,,"AU,ID",Australia and New Zealand,
Papilio palinurus,,ingested,butterfly,"[12.57, -6.56, 124.88, 55.69]",2015-11-27 to 2025-11-04,118.0,117,2026-02-13,SPECIES,1937966,99.2,,,"DK,ID,LK,MY,PH,TH",South-Eastern Asia,
Phocides pigmalion,,ingested,butterfly,"[131.70, -23.90, 151.26, -0.78]",2015-09-25 to 2025-12-28,,359,2026-02-12,SPECIES,,100.0,,,"AU,ID",Australia and New Zealand,
Erebia cassioides,,ingested,butterfly,"[-5.96, 39.90, 23.52, 47.37]",2015-06-30 to 2025-09-11,,2734,2026-02-12,SPECIES,,100.0,,,"AD,AT,BG,CH,ES,FR,IT",Western Europe,
Nymphalis antiopa,,ingested,butterfly,"[-109.12, -29.64, -34.83, 28.68]",2015-01-08 to 2025-12-27,,36098,2026-02-12,SPECIES,,100.0,,,"BO,BR,BZ,CO,CR,CU,EC,HN,MX,NI,PA,PE,SR,SV,TT,US",Central America,
Catacroptera cloanthe,,ingested,butterfly,"[-5.96, 39.90, 23.52, 47.37]",2015-06-30 to 2025-09-11,,818,2026-02-12,SPECIES,,100.0,,,"AD,AT,BG,CH,ES,FR,IT",Western Europe,
Fabriciana adippe,,ingested,butterfly,"[-155.78, 11.01, 139.65, 69.24]",2015-01-01 to 2025-04-17,,31107,2026-02-12,SPECIES,,100.0,,,"AD,AL,AT,AX,BA,BE,BG,BT,BY,CA,CH,CN,CZ,DE,DK,EE,ES,FI,FR,GB,GE,GR,GT,HR,HU,IE,IT,JP,KZ,LI,LT,LU,LV,ME,MK,MN,MX,NL,NO,PL,PT,RO,RS,RU,SE,SI,SK,TR,UA,US,VE",Southern Europe,
Papilio troilus,,ingested,butterfly,"[-108.32, 25.29, -68.82, 45.42]",2015-01-01 to 2025-12-23,37266.0,37254,2026-02-13,SPECIES,1938104,100.0,,,"CA,US",Northern America,
Aristolochia californica,,ingested,host_plant,"[-123.45, 36.83, -119.41, 41.34]",2015-01-31 to 2025-12-28,,2904,2026-02-12,SPECIES,,100.0,,,US,Northern America,
Aristolochia serpentaria,,ingested,host_plant,"[-100.08, 26.49, -0.30, 51.42]",2015-04-08 to 2025-12-24,,2267,2026-02-12,SPECIES,,100.0,,,"GB,US",Northern America,
Aristolochia fimbriata,,ingested,host_plant,"[-117.26, -35.26, -0.30, 51.48]",2015-01-09 to 2025-12-01,,289,2026-02-12,SPECIES,,100.0,,,"AR,BR,CO,FR,GB,PY,US,UY",South America,
